DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2020-01-31 14:46:41,2,19.31,1.82,0,32,1,19,101.80
2020-01-31 14:47:26,2,38.62,6.40,0,32,1,45,482.80
2020-01-31 14:47:27,2,38.62,4.26,0,32,1,1,10.66
2020-01-31 14:48:46,2,43.45,3.96,0,32,1,79,953.41
2020-01-31 14:49:49,2,24.14,3.65,0,32,1,63,422.45
2020-01-31 14:49:51,2,24.14,9.44,0,32,3,2,13.41
2020-01-31 14:50:14,2,38.62,4.87,0,32,1,23,246.88
2020-01-31 14:50:38,2,61.15,6.40,0,32,1,24,407.82
2020-01-31 14:51:25,2,46.67,4.26,0,32,1,47,609.29
2020-01-31 14:52:35,2,38.62,3.04,0,32,1,70,751.02
2020-01-31 14:53:25,2,38.62,4.57,0,32,1,50,536.44
2020-01-31 14:53:32,2,35.40,6.40,0,32,1,7,68.88
2020-01-31 14:53:34,2,41.84,4.57,0,32,1,2,23.16
2020-01-31 14:54:06,2,38.62,5.79,0,32,1,32,343.20
2020-01-31 14:54:13,2,72.42,6.40,0,32,1,7,140.81
2020-01-31 14:54:51,2,41.84,4.57,0,32,1,38,441.65
2020-01-31 14:55:07,2,49.88,4.57,0,32,1,16,221.58
2020-01-31 14:55:56,128,384.63,34.74,0,32,1,49,5235.24
2020-01-31 14:56:08,2,32.18,3.96,0,32,1,12,107.28
2020-01-31 14:56:12,2,53.10,5.18,0,32,1,4,59.13
2020-01-31 14:57:45,2,33.79,4.87,0,32,1,93,872.94
2020-01-31 14:57:58,2,93.34,9.44,0,32,1,13,337.10
2020-01-31 14:58:05,2,49.88,5.79,0,32,1,7,96.92
2020-01-31 14:58:35,2,41.84,5.79,0,32,1,30,348.69
2020-01-31 14:58:37,2,46.67,4.87,0,32,1,2,25.90
2020-01-31 14:58:39,2,49.88,6.09,0,32,1,2,27.73
2020-01-31 14:58:48,2,57.93,6.09,0,32,1,9,144.78
2020-01-31 14:59:32,2,41.84,5.48,0,32,1,44,511.45
2020-01-31 14:59:43,2,43.45,4.57,0,32,1,11,132.89
